"X","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","created","modified","references","source","majorGroup","tplID","synonims","edibility_classification"
965731,"wfo-0000970384","urn:lsid:ipni.org:names:71945-1","8769","Ancistrocladus letestui","species","wfo-4000001920","Pellegr.","Ancistrocladaceae","","","","Ancistrocladus","","letestui",NA,"species","Valid","in Bull. Soc. Bot. France 98: 18. 1951.","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Bull. Soc. Bot. France 98: 18 1951 to Bull. Soc. Bot. France 98: 18 (1951), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1","2022-04-16","2024-09-02","https://caryophyllales.org/?q=cdm_dataportal/name/caa92590-372e-452a-bf0d-e61a370ca091","The Caryophyllales TEN -The Caryophyllales Network","A","kew-8769","[]","edible"
333857,"wfo-0000336519","urn:lsid:ipni.org:names:20006046-1","216883","Eucalyptus sporadica","species","wfo-4000014088","Brooker & Hopper","Myrtaceae","","","","Eucalyptus","","sporadica",NA,"species","Valid","Nuytsia  14: 356 (2002)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Nuytsia 14(3): 356 (2002). to Nuytsia 14: 356 (2002), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-216883 >","2022-04-16","2024-06-04","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:20006046-1","wcs","A","kew-216883","[]","edible"
1483067,"wfo-1000025959","urn:lsid:ipni.org:names:77260661-1","","Carex delongii","species","wfo-4000006709","Shekhovts. & Lashch.","Cyperaceae","","","","Carex","","delongii",NA,"species","Valid","Turczaninowia 24(4): 124 (2021)","Accepted",NA,"",NA,"","2022-08-09","2024-06-04","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77260661-1","The Cyperaceae TEN","A","","[]","unknown"
1121031,"wfo-0001128054","urn:lsid:ipni.org:names:305938-2","26625010","Asplenium ruizianum","species","wfo-4000003342","Klotzsch","Aspleniaceae","","","","Asplenium","","ruizianum",NA,"species","Valid","Linnaea 20: 354 (1847)","Accepted",NA,"",NA,"Source in seed data: tro Update namepublishedIn from Linnaea 20: 354 1847 to Linnaea 20: 354 (1847), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26625010 >The ","2022-04-16","2024-12-16","https://pteridogroup.github.io/","Ferns and Allies TEN - the Pteridophyte Phylogeny Group (PPG).","Polypodiophyta","tro-26625010","['Tarachia ruiziana' 'Asplenium abscissum var. ruizianum']","unknown"
532533,"wfo-0000535987","urn:lsid:ipni.org:names:708757-1","770992","Anemonoides minima","species","wfo-4000002057","(DC.) Holub","Ranunculaceae","","","","Anemonoides","","minima",NA,"species","Valid","Folia Geobot. Phytotax. 12: 428 (1977)","Accepted",NA,"wfo-0000535463",NA,"Source in seed data: cmp Update namepublishedIn from Folia Geobot. Phytotax. 12(4): 428. 1977 to Folia Geobot. Phytotax. 12: 428 (1977), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.","2022-04-16","2024-06-04","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:708757-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2638879","['Anemone minima' 'Anemone quinquefolia var. minima']","unknown"
1453177,"wfo-1000002897","urn:lsid:ipni.org:names:77215970-1","ten:legumedata.org:Fabaceae:1273140","Ctenodon mucronulatus","species","wfo-4000009967","(Benth.) A.Delgado","Fabaceae","Papilionoideae","","","Ctenodon","","mucronulatus",NA,"species","Valid","Neodiversity 13(1): 23 (2020)","Accepted",NA,"wfo-0000167619",NA,"","2022-07-28","2024-06-04","https://www.legumedata.org/taxonomy/taxon/3273140","The Fabaceae TEN - Legume Taxonomy Working Group","A","","['Aeschynomene amorphoides' 'Aeschynomene guadalajarana'
 'Brya amorphoides' 'Hedysarum arborescens' 'Drepanocarpus mucronulatus'
 'Aeschynomene bracteolaris' 'Adesmia floribunda']","unknown"
1121873,"wfo-0001128900","urn:lsid:ipni.org:names:306182-2","26626153","Isoetes jeffreyi","species","wfo-4000019273","D.M.Britton & D.F.Brunt.","Isoetaceae","","","","Isoetes","","jeffreyi",NA,"species","Valid","Canad. J. Bot. 70: 451 (1992)","Accepted",NA,"",NA,"Source in seed data: tro Update namepublishedIn from Canad. J. Bot. 70: 447â452 1992 to Canad. J. Bot. 70: 451 (1992), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/recor","2022-04-16","2024-12-16","https://pteridogroup.github.io/","Ferns and Allies TEN - the Pteridophyte Phylogeny Group (PPG).","Lycopodiophyta","tro-26626153","[]","unknown"
455653,"wfo-0000458801","urn:lsid:ipni.org:names:825653-1","656460","Thomasia multiflora","species","wfo-4000038234","E.Pritz.","Malvaceae","","","","Thomasia","","multiflora",NA,"species","Valid","Bot. Jahrb. Syst. 35: 375 (1904)","Accepted",NA,"",NA,"Source in seed data: ksu Update namepublishedIn from Bot. Jahrb. Syst. 35: 375 1904 to Bot. Jahrb. Syst. 35: 375 (1904), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/recor","2022-04-16","2024-06-04","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:825653-1","ksu","A","kew-2520320","[]","unknown"
212449,"wfo-0000214939","urn:lsid:ipni.org:names:87318-1","100095","Homalomena treubii","species","wfo-4000018162","Engl.","Araceae","","","","Homalomena","","treubii",NA,"species","Valid","Pflanzenr. , IV, 23Da: 70 (1912)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Pflanzenr. (Engler) IV, 23Da: 70. 1912 to Pflanzenr. , IV, 23Da: 70 (1912), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1","2022-04-16","2024-06-04","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:87318-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-100095","[]","unknown"
1386896,"wfo-0001423625","urn:lsid:ipni.org:names:77174901-1","1227615-az","Garcinia sumbawaensis","species","wfo-4000015318","(Kosterm.) MedellÃ­n-Zab. & L.Marinho","Clusiaceae","","","","Garcinia","","sumbawaensis",NA,"species","Valid","Ann. Bot. Fenn.  52: 2 (2015)","Accepted",NA,"",NA,"Source in seed data: wcvp Updated namepublishedIn from Ann. Bot. Fenn. 52: 2 (2015) to Ann. Bot. Fenn. 52(5-6): 382. 2015 [21 Sep 2015] [epublished], information provided by Alan E. on email Oct. 12 2020","2022-04-16","2024-06-04","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77174901-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","","['Septogarcinia sumbawaensis']","unknown"
430488,"wfo-0000433546","urn:lsid:ipni.org:names:55254-1","614710","Staurogyne helferi","species","wfo-4000036319","(T.Anderson) Kuntze","Acanthaceae","","","","Staurogyne","","helferi",NA,"species","Valid","Revis. Gen. Pl.  2: 497 (1891)","Accepted",NA,"",NA,"Source in seed data: ksu Updated scientificnameAuthorship from (T.Anderson) Kuntze to Kuntze, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2477800 >The Plant Li","2022-04-16","2024-06-04","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:55254-1","Acanthaceae TEN","A","kew-2477800","['Ebermaiera helferi']","unknown"
587362,"wfo-0000590994","urn:lsid:ipni.org:names:112312-1","836516","Catostemma albuquerquei","species","wfo-4000007032","Paula","Malvaceae","","","","Catostemma","","albuquerquei",NA,"species","Valid","Ci. & Cult. 21: 702 (1970)","Accepted",NA,"",NA,"Source in seed data: cmp Update namepublishedIn from Ci. & Cult. 21: 702. 1970 to Ci. & Cult. 21: 702 (1970), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-27058","2022-04-16","2024-06-04","","cmp","A","kew-2705824","[]","unknown"
301131,"wfo-0000303753","urn:lsid:ipni.org:names:227758-2","185224","Sarcoglottis rosulata","species","wfo-4000034044","(Lindl.) P.N.Don","Orchidaceae","","","","Sarcoglottis","","rosulata",NA,"species","Valid","Hortus Cantabrig. , ed. 13: 590 (1845)","Accepted",NA,"wfo-0000313411",NA,"Source in seed data: wcs Update namepublishedIn from Hort. Cantabrig., ed. 13. 590. 1845 to Hortus Cantabrig. , ed. 13: 590 (1845), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/t","2022-04-16","2024-06-04","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:227758-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-185224","['Sarcoglottis ochracea' 'Sarcoglottis orbiculata' 'Spiranthes ochracea'
 'Spiranthes rosulata']","unknown"
956929,"wfo-0000961579","urn:lsid:ipni.org:names:346175-1","79183","Euphorbia cumulata","species","wfo-4000014224","R.A.Dyer","Euphorbiaceae","","","","Euphorbia","","cumulata",NA,"species","Valid","Rec. Albany Mus. 4: 92 (1931)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Rec. Albany Mus. 4: 92 1931 to Rec. Albany Mus. 4: 92 (1931), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-","2022-04-16","2024-06-04","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:346175-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-79183","[]","unknown"
